SequenceID	kingdom	phylum	class	order	family	genus	species	assignment	species_hypothesis	Confidence.x	taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource	assignment.1
ASV21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	NA	Didymella	NA	0.7070005	Didymellaceae	F971F4FB-F68A-481E-B5F1-2BF2B753AA5D	508292	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	Didymella
ASV22	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA	Herpotrichiellaceae	NA	0.9999999	Herpotrichiellaceae	1CB1CD37-36B9-11D5-9548-00D0592D548C	80856	9	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Herpotrichiellaceae
ASV23	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	NA	NA	Peniophoraceae	sSH1068829.09FU	0.9916654	Peniophoraceae	1CB1CD8B-36B9-11D5-9548-00D0592D548C	81123	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Peniophoraceae
ASV24	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_tonkinense	Fusarium_tonkinense	sSH3194730.09FU	0.7547132	Nectriaceae	1CB1CD7A-36B9-11D5-9548-00D0592D548C	81059	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))	Fusarium_tonkinense
ASV25	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	Simplicillium_sympodiophorum	Simplicillium_sympodiophorum	sSH1279241.09FU	0.7996374	Hypocreales	1CB18E60-36B9-11D5-9548-00D0592D548C	90477	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Simplicillium_sympodiophorum
ASV26	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	NA	Ramularia	NA	0.7161318	Mycosphaerellaceae	1CB1CD75-36B9-11D5-9548-00D0592D548C	81043	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Ramularia
ASV27	Fungi	Ascomycota	NA	NA	NA	NA	NA	Ascomycota	NA	0.9161619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ascomycota
ASV28	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	Dothiora_infuscans	Dothiora_infuscans	sSH1204667.09FU	0.9999996	Dothiora	F5AB58E1-AB0A-4087-BA0B-F0197750FA9A	1702	13	 Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Probable	Microfungus	NULL	Decay: wood (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))	Dothiora_infuscans
ASV29	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Penicillium	NA	0.9211908	Eurotiales	1CB1CE25-36B9-11D5-9548-00D0592D548C	90472	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))	Penicillium
ASV30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA	Alternaria	NA	0.9999949	Pleosporaceae	1CB1CDA2-36B9-11D5-9548-00D0592D548C	81188	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))	Alternaria
ASV31	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_tsunedae	Knufia_tsunedae	sSH1682696.09FU	0.9858158	Trichomeriaceae	B366E4F5-4360-49B3-BA47-86698B5D3511	800935	9	Symbiotroph	Epiphyte	Probable	Microfungus	NULL	Foliar epiphytes with the appearance of sooty moulds, mostly occurring on the surface of living leaves and apparently gaining their nutrients from insect exudates (Chomnunti et al. 2012)	Chomnunti P, et al. 2012. Fungal Diversity 56:63-76 ((https://doi.org/10.1007/s13225-012-0197-2))	Knufia_tsunedae
ASV32	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_phaeomuriformis	Exophiala_phaeomuriformis	sSH1066734.09FU	0.9998886	Herpotrichiellaceae	1CB1CD37-36B9-11D5-9548-00D0592D548C	80856	9	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Exophiala_phaeomuriformis
ASV33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani	Fusarium_solani	sSH0970292.09FU	0.9268469	Nectriaceae	1CB1CD7A-36B9-11D5-9548-00D0592D548C	81059	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))	Fusarium_solani
ASV34	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	Malassezia_restricta	sSH1102553.09FU	0.9999881	Malassezia restricta	0ED4066F-EEFE-46DE-95EC-94452E61766B	437921	20	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))	Malassezia_restricta
ASV35	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	NA	Rigidoporus	sSH1197646.09FU	0.7272092	Meripilaceae	1CB1CD64-36B9-11D5-9548-00D0592D548C	80007	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Polyporoid	NULL	Saprobic or parasitic on hardwood trees, often growing from buried roots and causing white rot (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	Rigidoporus
ASV36	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Sphagnurus	Sphagnurus_paluster	Sphagnurus_paluster	sSH1149345.09FU	0.9999962	Lyophyllaceae	D430CD68-3D0F-4B65-A514-B079A244738F	80005	9	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Pathogen-Undefined Saprotroph	Possible	Agaricoid	NULL	NULL	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)	Sphagnurus_paluster
ASV37	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Cladosporium	NA	0.8530168	Cladosporiaceae	6EDCD6E4-DE4D-443D-AF6B-A572F626BD45	816548	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))	Cladosporium
