"","qseqid","kingdom","phylum","class","order","family","genus","species","assignment","species_hypothesis","Confidence.x","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","assignment.1","Kingdom","Phylum","Class","Order","Family","Genus","Species","n_100_hits","Match_Type","matched_sseqids","Species_Agreement","Genus_Agreement","Family_Agreement","Order_Agreement","Class_Agreement","Phylum_Agreement"
"21","ASV21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA,"Didymella",NA,"0.7070005","Didymellaceae","F971F4FB-F68A-481E-B5F1-2BF2B753AA5D","508292","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))","Didymella","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella_gardeniae",4,"Multiple 100% matches","ASV125;ASV6704;ASV6944;ASV7589",NA,"Match","Match","Match","Match","Match"
"22","ASV22","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA,"Herpotrichiellaceae",NA,"0.9999999","Herpotrichiellaceae","1CB1CD37-36B9-11D5-9548-00D0592D548C","80856","9","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Probable","Facultative Yeast-Microfungus","NULL","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Herpotrichiellaceae","Fungi","Ascomycota",NA,NA,NA,NA,NA,6,"Multiple 100% matches","ASV66;ASV7442;ASV7940;ASV7993;ASV8237;ASV8243",NA,NA,NA,NA,NA,"Match"
"24","ASV24","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_tonkinense","Fusarium_tonkinense","sSH3194730.09FU","0.7547132","Nectriaceae","1CB1CD7A-36B9-11D5-9548-00D0592D548C","81059","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))","Fusarium_tonkinense","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_tonkinense",8,"Multiple 100% matches","ASV41;ASV6858;ASV6927;ASV7097;ASV7297;ASV7364;ASV7536;ASV7641","Match","Match","Match","Match","Match","Match"
"25","ASV25","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium","Simplicillium_sympodiophorum","Simplicillium_sympodiophorum","sSH1279241.09FU","0.7996374","Hypocreales","1CB18E60-36B9-11D5-9548-00D0592D548C","90477","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Simplicillium_sympodiophorum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium","Simplicillium_sympodiophorum",3,"Multiple 100% matches","ASV8108;ASV8168;ASV96","Match","Match","Match","Match","Match","Match"
"26","ASV26","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA,"Ramularia",NA,"0.7161318","Mycosphaerellaceae","1CB1CD75-36B9-11D5-9548-00D0592D548C","81043","9","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Ramularia","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV4515;ASV4993;ASV5145;ASV6287;ASV6367;ASV7075;ASV7444;ASV7614;ASV7931;ASV8234",NA,NA,NA,NA,NA,"Match"
"27","ASV27","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota",NA,"0.9161619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,10,"Multiple 100% matches","ASV5522;ASV7487;ASV7541;ASV7592;ASV7610;ASV7628;ASV7685;ASV7716;ASV8034;ASV8124",NA,NA,NA,NA,NA,"Match"
"28","ASV28","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","Dothiora_infuscans","Dothiora_infuscans","sSH1204667.09FU","0.9999996","Dothiora","F5AB58E1-AB0A-4087-BA0B-F0197750FA9A","1702","13"," Saprotroph","Undefined Saprotroph-|Wood Saprotroph|","Probable","Microfungus","NULL","Decay: wood (Põlme et al. 2020)","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Dothiora_infuscans","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","Dothiora_infuscans",2,"Multiple 100% matches","ASV4668;ASV5220","Match","Match","Match","Match","Match","Match"
"29","ASV29","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Penicillium",NA,"0.9211908","Eurotiales","1CB1CE25-36B9-11D5-9548-00D0592D548C","90472","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Penicillium","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae",NA,NA,9,"Multiple 100% matches","ASV6739;ASV6808;ASV6840;ASV7260;ASV7299;ASV7457;ASV7606;ASV7679;ASV7805",NA,NA,"Match","Match","Match","Match"
"30","ASV30","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"Alternaria",NA,"0.9999949","Pleosporaceae","1CB1CDA2-36B9-11D5-9548-00D0592D548C","81188","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))","Alternaria","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_angustiovoidea",7,"Multiple 100% matches","ASV3621;ASV4453;ASV6104;ASV6286;ASV6597;ASV7346;ASV7812",NA,"Match","Match","Match","Match","Match"
"31","ASV31","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia_tsunedae","Knufia_tsunedae","sSH1682696.09FU","0.9858158","Trichomeriaceae","B366E4F5-4360-49B3-BA47-86698B5D3511","800935","9","Symbiotroph","Epiphyte","Probable","Microfungus","NULL","Foliar epiphytes with the appearance of sooty moulds, mostly occurring on the surface of living leaves and apparently gaining their nutrients from insect exudates (Chomnunti et al. 2012)","Chomnunti P, et al. 2012. Fungal Diversity 56:63-76 ((https://doi.org/10.1007/s13225-012-0197-2))","Knufia_tsunedae","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV7196;ASV7226;ASV7276;ASV7277;ASV7625;ASV7631;ASV7640;ASV7813;ASV7943;ASV7944",NA,NA,NA,NA,NA,"Match"
