"","qseqid","kingdom","phylum","class","order","family","genus","species","assignment","species_hypothesis","Confidence.x","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","assignment.1","Kingdom","Phylum","Class","Order","Family","Genus","Species","n_100_hits","Match_Type","matched_sseqids"
"351","ASV351","Fungi","Basidiomycota","Agaricomycetes","Russulales","Lachnocladiaceae","Scytinostroma",NA,"Scytinostroma","sSH1235897.09FU","0.9965161","Lachnocladiaceae","1CB1CD49-36B9-11D5-9548-00D0592D548C","80924","9","Saprotroph","Wood Saprotroph","Probable","Coraloid-Corticioid","NULL","On decaying coniferous or broadleaved wood, sometimes on herbaceous stems, presumably saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Scytinostroma","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulales_fam_Incertae_sedis",NA,NA,1,"Unique 100% match","ASV3566"
"352","ASV352","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,"Curvularia",NA,"0.9999948","Pleosporaceae","1CB1CDA2-36B9-11D5-9548-00D0592D548C","81188","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))","Curvularia","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_mebaldsii",1,"Unique 100% match","ASV681"
"353","ASV353","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,"Dothideomycetes",NA,"0.9930873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dothideomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","ASV354","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_sanguinolentum","Stereum_sanguinolentum",NA,"0.8211571","Stereaceae","1CB1CDDC-36B9-11D5-9548-00D0592D548C","81424","9","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Probable","Corticioid-Polyporoid","NULL","Lignicolous or terrestrial (in leaf litter); typically saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Stereum_sanguinolentum","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_sanguinolentum",4,"Multiple 100% matches","ASV402;ASV424;ASV5179;ASV7951"
"355","ASV355","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora_cinerea","Peniophora_cinerea","sSH1068907.09FU","0.9404699","Peniophoraceae","1CB1CD8B-36B9-11D5-9548-00D0592D548C","81123","9","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Probable","Corticioid","White Rot","Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Peniophora_cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","ASV356","Fungi",NA,NA,NA,NA,NA,NA,NA,"sSH1077781.09FU","0.9967701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","ASV357","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Amaurodon",NA,"Amaurodon",NA,"0.9999999","Thelephoraceae","1CB1CDE7-36B9-11D5-9548-00D0592D548C","81463","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Undefined Saprotroph","Probable","Clavarioid","NULL","On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Amaurodon","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Amaurodon",NA,1,"Unique 100% match","ASV7572"
"358","ASV358","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina",NA,"Taphrina","sSH1286376.09FU","0.9998997","Taphrinaceae","1CB1CDE3-36B9-11D5-9548-00D0592D548C","81450","9","Pathotroph","Plant Pathogen","Probable","Microfungus","NULL","Biotrophic on plants, usually causing hyperplasia (galls, witches broom) or lesions (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)","Taphrina","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina",NA,1,"Unique 100% match","ASV7036"
"359","ASV359","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_aureus","Cryptococcus_aureus","sSH0989469.09FU","0.7999340","Tremellales","1CB1CE64-36B9-11D5-9548-00D0592D548C","90451","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Possible","Tremelloid-Yeast","NULL","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Cryptococcus_aureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","ASV360","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",NA,"Neodevriesia",NA,"0.9997334","Neodevriesiaceae","F8168581-D82E-4A75-9190-C7925084B4CA","807766","9","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","Probable","NULL","NULL","Members are foliicolous, saprobic or plant pathogenic (Quaedvlieg et al. 2014)","Quaedvlieg W., et al. 2014. Persoonia 3:31-40 ((http://doi.org/10.3767/003158514X681981))","Neodevriesia","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",NA,1,"Unique 100% match","ASV4394"
